
Timestamp,Engine,X_Pixel,Y_Pixel,RA,Dec,Image_File
20260630_152523,Engine B (Flare),3953,1343,Unknown,Unknown,20260630_152523_B_X3953_Y1343.png
20260630_152651,Engine B (Flare),3953,1343,Unknown,Unknown,20260630_152651_B_X3953_Y1343.png
20260630_152651,Engine B (Flare),3117,2649,Unknown,Unknown,20260630_152651_B_X3117_Y2649.png
20260630_152651,Engine B (Flare),2290,861,Unknown,Unknown,20260630_152651_B_X2290_Y861.png
20260630_152652,Engine B (Flare),489,2737,Unknown,Unknown,20260630_152652_B_X489_Y2737.png
20260630_152652,Engine B (Flare),1897,3002,Unknown,Unknown,20260630_152652_B_X1897_Y3002.png
20260630_152652,Engine B (Flare),296,235,Unknown,Unknown,20260630_152652_B_X296_Y235.png
20260630_152652,Engine B (Flare),509,1597,Unknown,Unknown,20260630_152652_B_X509_Y1597.png
20260630_152652,Engine B (Flare),1030,2410,Unknown,Unknown,20260630_152652_B_X1030_Y2410.png
20260630_152652,Engine B (Flare),803,883,Unknown,Unknown,20260630_152652_B_X803_Y883.png
20260630_152653,Engine B (Flare),2165,364,Unknown,Unknown,20260630_152653_B_X2165_Y364.png
20260630_152653,Engine B (Flare),3508,1783,Unknown,Unknown,20260630_152653_B_X3508_Y1783.png
20260630_152653,Engine B (Flare),761,1864,Unknown,Unknown,20260630_152653_B_X761_Y1864.png
20260630_152653,Engine B (Flare),3343,2241,Unknown,Unknown,20260630_152653_B_X3343_Y2241.png
20260630_152654,Engine B (Flare),176,153,Unknown,Unknown,20260630_152654_B_X176_Y153.png
20260630_152654,Engine B (Flare),769,1425,Unknown,Unknown,20260630_152654_B_X769_Y1425.png
20260630_152654,Engine B (Flare),3676,1230,Unknown,Unknown,20260630_152654_B_X3676_Y1230.png
20260630_152654,Engine B (Flare),747,266,Unknown,Unknown,20260630_152654_B_X747_Y266.png
20260630_152654,Engine B (Flare),191,1004,Unknown,Unknown,20260630_152654_B_X191_Y1004.png
20260630_152655,Engine B (Flare),2009,1207,Unknown,Unknown,20260630_152655_B_X2009_Y1207.png
20260630_152655,Engine B (Flare),2900,933,Unknown,Unknown,20260630_152655_B_X2900_Y933.png
20260630_152655,Engine B (Flare),2167,1072,Unknown,Unknown,20260630_152655_B_X2167_Y1072.png
20260630_152655,Engine B (Flare),1124,2107,Unknown,Unknown,20260630_152655_B_X1124_Y2107.png
20260630_152655,Engine B (Flare),3676,1595,Unknown,Unknown,20260630_152655_B_X3676_Y1595.png
20260630_152655,Engine B (Flare),2890,1029,Unknown,Unknown,20260630_152655_B_X2890_Y1029.png
20260630_152656,Engine B (Flare),243,2390,Unknown,Unknown,20260630_152656_B_X243_Y2390.png
20260630_152656,Engine B (Flare),2267,3132,Unknown,Unknown,20260630_152656_B_X2267_Y3132.png
20260630_152656,Engine B (Flare),3502,2857,Unknown,Unknown,20260630_152656_B_X3502_Y2857.png
20260630_152656,Engine B (Flare),2834,1690,Unknown,Unknown,20260630_152656_B_X2834_Y1690.png
20260630_152656,Engine B (Flare),3487,300,Unknown,Unknown,20260630_152656_B_X3487_Y300.png
20260630_152657,Engine B (Flare),1204,819,Unknown,Unknown,20260630_152657_B_X1204_Y819.png
20260630_152657,Engine B (Flare),4259,1261,Unknown,Unknown,20260630_152657_B_X4259_Y1261.png
20260630_152657,Engine B (Flare),2137,2673,Unknown,Unknown,20260630_152657_B_X2137_Y2673.png
20260630_152657,Engine B (Flare),196,7,Unknown,Unknown,20260630_152657_B_X196_Y7.png
20260630_152657,Engine B (Flare),1907,513,Unknown,Unknown,20260630_152657_B_X1907_Y513.png
20260630_152658,Engine B (Flare),1038,1063,Unknown,Unknown,20260630_152658_B_X1038_Y1063.png
20260630_152658,Engine B (Flare),4759,97,Unknown,Unknown,20260630_152658_B_X4759_Y97.png
20260630_152658,Engine B (Flare),2116,1788,Unknown,Unknown,20260630_152658_B_X2116_Y1788.png
20260630_152658,Engine B (Flare),62,1846,Unknown,Unknown,20260630_152658_B_X62_Y1846.png
20260630_152658,Engine B (Flare),558,2596,Unknown,Unknown,20260630_152658_B_X558_Y2596.png
20260630_152659,Engine B (Flare),3748,1315,Unknown,Unknown,20260630_152659_B_X3748_Y1315.png
20260630_152659,Engine B (Flare),4003,960,Unknown,Unknown,20260630_152659_B_X4003_Y960.png
20260630_152659,Engine B (Flare),4599,2106,Unknown,Unknown,20260630_152659_B_X4599_Y2106.png
20260630_152659,Engine B (Flare),445,2798,Unknown,Unknown,20260630_152659_B_X445_Y2798.png
20260630_152659,Engine B (Flare),1956,1254,Unknown,Unknown,20260630_152659_B_X1956_Y1254.png
20260630_152700,Engine B (Flare),2992,3076,Unknown,Unknown,20260630_152700_B_X2992_Y3076.png
20260630_152700,Engine B (Flare),331,373,Unknown,Unknown,20260630_152700_B_X331_Y373.png
20260630_152700,Engine B (Flare),1663,1254,Unknown,Unknown,20260630_152700_B_X1663_Y1254.png
20260630_152700,Engine B (Flare),2139,404,Unknown,Unknown,20260630_152700_B_X2139_Y404.png
20260630_152700,Engine B (Flare),1822,1800,Unknown,Unknown,20260630_152700_B_X1822_Y1800.png
20260630_152701,Engine B (Flare),1138,2039,Unknown,Unknown,20260630_152701_B_X1138_Y2039.png
20260630_152701,Engine B (Flare),4038,464,Unknown,Unknown,20260630_152701_B_X4038_Y464.png
20260630_152701,Engine B (Flare),4677,539,Unknown,Unknown,20260630_152701_B_X4677_Y539.png
20260630_152701,Engine B (Flare),97,1315,Unknown,Unknown,20260630_152701_B_X97_Y1315.png
20260630_152702,Engine B (Flare),4107,2202,Unknown,Unknown,20260630_152702_B_X4107_Y2202.png
20260630_152702,Engine B (Flare),2011,3188,Unknown,Unknown,20260630_152702_B_X2011_Y3188.png
20260630_152702,Engine B (Flare),312,1612,Unknown,Unknown,20260630_152702_B_X312_Y1612.png
20260630_152702,Engine B (Flare),3169,2874,Unknown,Unknown,20260630_152702_B_X3169_Y2874.png
20260630_152702,Engine B (Flare),2065,2134,Unknown,Unknown,20260630_152702_B_X2065_Y2134.png
20260630_152703,Engine B (Flare),1433,426,Unknown,Unknown,20260630_152703_B_X1433_Y426.png
20260630_152703,Engine B (Flare),4240,750,Unknown,Unknown,20260630_152703_B_X4240_Y750.png
20260630_152703,Engine B (Flare),4240,2235,Unknown,Unknown,20260630_152703_B_X4240_Y2235.png
20260630_152703,Engine B (Flare),1736,407,Unknown,Unknown,20260630_152703_B_X1736_Y407.png
20260630_152703,Engine B (Flare),521,1723,Unknown,Unknown,20260630_152703_B_X521_Y1723.png
20260630_152704,Engine B (Flare),1740,1413,Unknown,Unknown,20260630_152704_B_X1740_Y1413.png
20260630_152704,Engine B (Flare),2718,2079,Unknown,Unknown,20260630_152704_B_X2718_Y2079.png
20260630_152704,Engine B (Flare),890,1478,Unknown,Unknown,20260630_152704_B_X890_Y1478.png
20260630_152704,Engine B (Flare),790,13,Unknown,Unknown,20260630_152704_B_X790_Y13.png
